,CATALOGUE GENERAL DES SERVICES PUBLICS,,,,,,,,,,,,,,,,,COLLECTE DETAILLEE,,,,,,,,,,,,
N°,1-ID (référence mère),2-ENTITE MERE,3-DIRECTION GENERALE / AGENCE DE RATTACHEMENT,4-SERVICES DE BASE,5-NOM DU PROCESSUS ADMINISTRATIF,"6-TYPE
 G2C ou G2B",7-TEXTE REGISSANT LE PROCESSUS ADMINISTRATIF,8-COUT DU PROCESSUS EN ARIARY,9-DOCUMENTS A FOURNIR (liste complète),10-NOM DE L'ELEMENT DE SORTIE DU PROCESSUS,11-POINT DE CONTACT,12-CONTEXTE DU DEMANDEUR,13-TYPE JURIDIQUE,14-VALIDITE,15-VOLUME DE DEMANDE PAR SEMAINE ( ou périodicité à préciser),16-DÉLAIS DE TRAITEMENT (en jours),17-SECTEUR(S) CONCERNE(S),18- ETAPES A SUIVRE,"19-NOM DE(S) L'AUTRE(S) ENTITE(S) MERE(S) QUI GERE(NT) CETTE ETAPE, LE CAS ECHEANT",20-NOM DE LA DIRECTION GENERALE / AGENCE DE RATTACHEMENT DE(S) L'AUTRE(S) ENTITE(S) MERE(S) QUI GERE(NT) CETTE ETAPE,21-L'ETAPE PEUT ETRE COMPLETEE EN LIGNE (OUI/NON),22-NOM DU FORMULAIRE REQUIS POUR CETTE ETAPE (si existant),NUMERO DES IMPRIMES,,25-AUTRES DOCUMENTS A FOURNIR POUR CETTE ETAPE (liste complète),"POUVANT ETRE FACILEMENT SIMPLIFIES OU AMELIORES ?
 Oui ou Non",26-PROBLEME(S) RENCONTR(E) AVEC LA PROCEDURE ACTUELLE / PRINCIPAUX OBSTACLES,27-PROPOSITION(S) DE SIMPLIFICATION/D'ALLEGEMENT DE LA PROCEDURE OU DES FORMULAIRES,28-LE(S) SIMPLIFICATION(S) PROPOSEE(S) IMPLIQUE-T-ELLE UN AMENDEMENT DES TEXTES EN VIGUEUR?,29-COMMENTAIRES / OBSERVATIONS
,,,,,,,,,,,,,,,,,,,,,,,"23-NUMERO IMPRIME 
 CODE PRODUIT : Imprimerie Nationale","24-NUMERO FORMULAIRE -
 (autre que Imprimerie Nationale)",,,,,,
1,MID/DACCIM/C/P1,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Service central d'Appui et coordination des centres immatriculateurs,Autorisation de conversion des permis de conduire malagasy en permis de conduire international,G2C,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar",0 Ariary,"Demande adressée à Monsieur le Ministre chargé de l'Intérieur indiquant le motif , le lieu et la durée de séjour, 
Une photocopie certifiée à l'original du permis de conduire,
Une photocopie certifiée à l'original du Passeport et visa,
Une photocopie certifiée à l'original du billet d'avion aller et retour",Autorisation de conversion de permis de conduire en permis international,"Porte 204 
Service central d'Appui et de coordination du centre d'immatriculation DACCIM Ambohidahy",Toute personne possédant un permis de conduire de plus d'une année souhaitant un permis de conduire pour voyager,AUTORISATION,Une fois,5 à 10 par semaine,72 heures,"Transport,
 Sécurité routière","
Etape 1: Certification des photocopies de documents demandés,
Etape 2: Dépôt de dossie par le demandeur à la porte 204 
Etape 3: Verification et traitement à la Porte 4 Anosy
Etape 4: Signature de l'autorisation de la Direction d'Appui et de Coordination des Centres Immatriculateurs
Etape 5: Délivrance de l'autorisation à la Porte 204",,,NON,,,,,,,,,
2,MID/DACCIM/C/P2,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Service central d'Appui et coordination des centres immatriculateurs,Certificat d'authenticité de permis de conduire,G2C,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar",0 Ariary,"Demande adressée à Monsieur le Ministre chargé de l'Intérieur indiquant le motif , le lieu et la durée de séjour, 
Une photocopie certifiée à l'original du permis de conduire,
Une photocopie certifiée à l'original du Passeport",Certificat d'authenticité,"Porte 204 
Service central d'Appui et de coordination du centre d'immatriculation DACCIM Ambohidahy",Toute personne souhaitant authentifier son permis de conduire,CERTIFICAT,A vie,3 à 10 par semaine,72 heures,"Transport,
 Sécurité routière","
Etape 1: Certification des photocopies de documents demandés,
Etape 2: Dépôt de dossier par le demandeur à la porte 204 
Etape 3: Verification et traitement à la Porte 4 Anosy
Etape 4: Signature de l'autorisation de la Direction d'Appui et de Coordination des Centres Immatriculateurs
Etape 5: Délivrance de l'autorisation à la Porte 204",,,NON,,,,,,,,,
3,MID/DACCIM/C/P3,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Service central d'Appui et coordination des centres immatriculateurs,Dérogation à l'âge légal de passage examen de permis de conduire pour les mineurs âgés de 17 ans 7 mois,G2C,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar",0 Ariary,"Demande de dérogation à l'âge légal adressée à Monsieur le Ministre chargé de l'intérieur légalisé,
Engagement parental à supporter les dégâts matériels et corporels provoqués par l'enfant le jour d'examen et jusqu'à l'âge légal légalisé,
Bulletin de naissance ou copie d'acte de naissance",Autorisation de passer l'examen,"Porte 4 Anosy
Service central d'Appui et de coordination du centre d'immatriculation DACCIM Ambohidahy",Parents des enfants âgés de 17 ans et 7 mois,AUTORISATION,Jusqu'à la majorité (18 ans),"En temps normale: 1 par semaine
En période de forte demande: 5 à 10 par semaine",72 heures,"Transport,
 Sécurité routière","
Etape 1: Dépôt de dossier par le demandeur et Réception des dossiers à la Porte 4 Anosy
Etape 2: Verification et traitement à la Porte 4 Anosy
Etape 3: Vérification des dossiers à la Porte 204 Centres Immatriculateurs Ambohidahy
Etape 4: Signature du projet de dérogation par le chef de service
Etape 5: Signature du projet de dérogation par le directeur
Etape 6: Signature du projet de dérogation par le directeur général
Etape 7: Signature du projet de dérogation par le SG ou le Ministre
Etape 8: Délivrance de la dérogation à la Porte 4 Anosy",,,NON,,,,,,,,,
4,MID/DACCIM/C/P4,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Service central d'Appui et coordination des centres immatriculateurs,Certificat de non infraction,G2C,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar",0 Ariary,"Demande de l'intéressé,
Photocopie certifiée conforme du permis de conduire,
Certificat de résidence",Certificat de non infraction,"Porte 204 
Service central d'Appui et de coordination du centre d'immatriculation DACCIM Ambohidahy",Toute personne souhaitant un certificat de non infraction,CERTIFICAT,A vie,1 par mois,72 heures,"Transport,
 Sécurité routière","
Etape 1: Certification des photocopies de documents demandés, 
Etape 2:  Dépôt de dossier par le demandeur à la porte 204 et vérification 
Etape 3: Recherche et traitement à la Porte 4 Anosy
Etape 4: Signature du certificat auprès du DACCIM 
Etape 5: Délivrance de l'autorisation à la Porte 204",,,NON,,,,,,,,,
5,MID/DACCIM/C/P5,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Centres immatriculateurs,Permis de conduire Malagasy (Nouveau ),G2C,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar","Droit d'enregistrement de permis biométrique :38000 Ar, 
 320 Ar/Catégorie","Bordereau d'envoi auto-école,
Photocopie CIN certifiée,
Certificat de résidence ,
Droit d'enregistrement de permis biométrique : 38000 MGA , 
 320 MGA/Catgorie,
Chemise dossier verte",Permis biométrique,"Centres Immatriculateurs des six provinces
Ambohidahy  porte 24",Tout citoyen ou étranger résident ayant 18 ans et plus,PERMIS,"Catégorie A-B: dépend de la date de naissance de la personne titulaire du PC,
 Catégorie C-D-E: si 60 ans et plus 1ans/ si 50 à 59 2 ans/ si 40 à 49 ans 3ans/ si moins de 40 ans 5ans",200 par jours,45 jours,"Transport,
 Sécurité routière","

Etape 1: Paiement du cout à l'accuiel
Etape 2: Octroi avis de paiement
Etape 3: Paiement 38 000 Ariary à la Porte 19
Etape 4: Enregistrement informations (non et catégorie de permis)
Etape 5: Prise de photo et d'empreinte et signature électronique et validation avant impression à la Porte 202
Etape 6: Saisie des informations détaillés (identité civil, informations permis)
Etape 7: Controle des informations
Etape 8: Validation des informations
Etape 9: Organisation des planning d'impression des permis
Etape 10: Impression à la Porte 24
Etape 11: Délivrance permis à la Porte 24
",,,NON,Aucun,,,,,,,,
6,MID/DACCIM/C/P6,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Centres immatriculateurs,Permis de conduire (Extension),G2C,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar","Droit d'enregistrement extention du permis de conduire (permis biométrique) :38000 Ar, 
 320 Ar/Catégorie","Bordereau d'envoi auto-école,
Certificat de résidence,
Permis de conduire original + photocopie certifiée,
Certificat médical
Droit d'enregistrement extention du permis de conduire (permis biométrique): 38000 MGA , 
 320 MGA/Catégorie,
Chemise dossier verte",Permis biométrique,"Centres Immatriculateurs des six provinces
Ambohidahy  porte 24",Tout citoyen ou étranger résident titulaire d'un permis B de 1ans et plus,PERMIS,Permis C-D-E: si 60 ans et plus 1ans/ si 50 à 59 2ans/ si 40 à 49ans 3ans/ si moins de 40 ans 5ans,50 par jours,45 jours/ si 60 ans et plus 1 jour,"Transport,
 Sécurité routière","

Etape 1: Paiement du cout à l'accuiel
Etape 2: Octroi avis de paiement
Etape 3: Paiement 38 000 Ariary à la Porte 19
Etape 4: Enregistrement informations (non et catégorie de permis)
Etape 5: Prise de photo et d'empreinte et signature électronique et validation avant impression à la Porte 202
Etape 6: Saisie des informations détaillés (identité civil, informations permis)
Etape 7: Controle des informations
Etape 8: Validation des informations
Etape 9: Organisation des planning d'impression des permis
Etape 10: Impression à la Porte 24
Etape 11: Délivrance permis à la Porte 24
",,,NON,,,,,,,,,
7,MID/DACCIM/C/P7,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Centres immatriculateurs,Permis de conduire (Médical),G2C,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar",Droit d'enregistrement extention du permis de conduire (permis biométrique) : 38000 MGA,"Photocopie CNI certifiée,
Certificat médical par le BMH ou la HJRA,
Certificat de résidence",Permis biométrique,"Centres Immatriculateurs des six provinces
Ambohidahy  porte 24",Toute personne titulaire d'un permis de conduire médical dont la date de validité du permis est expirée,PERMIS,Permis C-D-E: si 60 ans et plus 1ans/ si 50 à 59 2ans/ si 40 à 49ans 3ans/ si moins de 40 ans 5ans,50 par jours,45 jours/ si 60 ans et plus 1 jour,"Transport,
 Sécurité routière","

Etape 1: Paiement du cout à l'accuiel
Etape 2: Octroi avis de paiement
Etape 3: Paiement 38 000 Ariary à la Porte 19
Etape 4: Enregistrement informations (non et catégorie de permis)
Etape 5: Prise de photo et d'empreinte et signature électronique et validation avant impression à la Porte 202
Etape 6: Saisie des informations détaillés (identité civil, informations permis)
Etape 7: Controle des informations
Etape 8: Validation des informations
Etape 9: Organisation des planning d'impression des permis
Etape 10: Impression à la Porte 24
Etape 11: Délivrance permis à la Porte 24
",,,NON,,,,,,,,,
