ID,SERVICE_NAME,SERVICE_TYPE,TENANT,DEPARTMENT,CATEGORY,DESCRIPTION,LEGAL_TEXT,COST_MIN,COST_MAX,COST_CURRENCY,COST_NOTES,DOCUMENTS,PROCESSING_TIME,PROCESSING_TIME_NOTES,STEPS,ACCESS_MODE,STATUS,AUDIENCE,SUPPORT_CONTACT,ELIGIBILITY,OUTPUT_NAME
MID/DACCIM/C/P1,Autorisation de conversion des permis de conduire malagasy en permis de conduire international,G2C,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Service central d'Appui et coordination des centres immatriculateurs,Autorisation de conversion des permis de conduire malagasy en permis de conduire international. Toute personne possédant un permis de conduire de plus d'une année souhaitant un permis de conduire pour voyager,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar",0,0,MGA,,Demande adressée à Monsieur le Ministre chargé de l'Intérieur indiquant le motif|le lieu et la durée de séjour|Une photocopie certifiée à l'original du permis de conduire|Une photocopie certifiée à l'original du Passeport et visa|Une photocopie certifiée à l'original du billet d'avion aller et retour,72 heures,Validité: Une fois,Certification des photocopies de documents demandés|Dépôt de dossie par le demandeur à la porte 204|Verification et traitement à la Porte 4 Anosy|Signature de l'autorisation de la Direction d'Appui et de Coordination des Centres Immatriculateurs|Délivrance de l'autorisation à la Porte 204,offline,active,citizens,"Porte 204 
Service central d'Appui et de coordination du centre d'immatriculation DACCIM Ambohidahy",Toute personne possédant un permis de conduire de plus d'une année souhaitant un permis de conduire pour voyager,Autorisation de conversion de permis de conduire en permis international
MID/DACCIM/C/P2,Certificat d'authenticité de permis de conduire,G2C,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Service central d'Appui et coordination des centres immatriculateurs,Certificat d'authenticité de permis de conduire. Toute personne souhaitant authentifier son permis de conduire,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar",0,0,MGA,,Demande adressée à Monsieur le Ministre chargé de l'Intérieur indiquant le motif|le lieu et la durée de séjour|Une photocopie certifiée à l'original du permis de conduire|Une photocopie certifiée à l'original du Passeport,72 heures,Validité: A vie,Certification des photocopies de documents demandés|Dépôt de dossier par le demandeur à la porte 204|Verification et traitement à la Porte 4 Anosy|Signature de l'autorisation de la Direction d'Appui et de Coordination des Centres Immatriculateurs|Délivrance de l'autorisation à la Porte 204,offline,active,citizens,"Porte 204 
Service central d'Appui et de coordination du centre d'immatriculation DACCIM Ambohidahy",Toute personne souhaitant authentifier son permis de conduire,Certificat d'authenticité
MID/DACCIM/C/P3,Dérogation à l'âge légal de passage examen de permis de conduire pour les mineurs âgés de 17 ans 7 mois,G2C,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Service central d'Appui et coordination des centres immatriculateurs,Dérogation à l'âge légal de passage examen de permis de conduire pour les mineurs âgés de 17 ans 7 mois. Parents des enfants âgés de 17 ans et 7 mois,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar",0,0,MGA,,Demande de dérogation à l'âge légal adressée à Monsieur le Ministre chargé de l'intérieur légalisé|Engagement parental à supporter les dégâts matériels et corporels provoqués par l'enfant le jour d'examen et jusqu'à l'âge légal légalisé|Bulletin de naissance ou copie d'acte de naissance,72 heures,Validité: Jusqu'à la majorité (18 ans),Dépôt de dossier par le demandeur et Réception des dossiers à la Porte 4 Anosy|Verification et traitement à la Porte 4 Anosy|Vérification des dossiers à la Porte 204 Centres Immatriculateurs Ambohidahy|Signature du projet de dérogation par le chef de service|Signature du projet de dérogation par le directeur|Signature du projet de dérogation par le directeur général|Signature du projet de dérogation par le SG ou le Ministre|Délivrance de la dérogation à la Porte 4 Anosy,offline,active,citizens,"Porte 4 Anosy
Service central d'Appui et de coordination du centre d'immatriculation DACCIM Ambohidahy",Parents des enfants âgés de 17 ans et 7 mois,Autorisation de passer l'examen
MID/DACCIM/C/P4,Certificat de non infraction,G2C,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Service central d'Appui et coordination des centres immatriculateurs,Certificat de non infraction. Toute personne souhaitant un certificat de non infraction,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar",0,0,MGA,,Demande de l'intéressé|Photocopie certifiée conforme du permis de conduire|Certificat de résidence,72 heures,Validité: A vie,Certification des photocopies de documents demandés|Dépôt de dossier par le demandeur à la porte 204 et vérification|Recherche et traitement à la Porte 4 Anosy|Signature du certificat auprès du DACCIM|Délivrance de l'autorisation à la Porte 204,offline,active,citizens,"Porte 204 
Service central d'Appui et de coordination du centre d'immatriculation DACCIM Ambohidahy",Toute personne souhaitant un certificat de non infraction,Certificat de non infraction
MID/DACCIM/C/P5,Permis de conduire Malagasy (Nouveau ),G2C,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Centres immatriculateurs,Permis de conduire Malagasy (Nouveau ). Tout citoyen ou étranger résident ayant 18 ans et plus,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar",38000,38000,MGA,"Droit d'enregistrement de permis biométrique :38000 Ar, 
 320 Ar/Catégorie",Bordereau d'envoi auto-école|Photocopie CIN certifiée|Certificat de résidence|Droit d'enregistrement de permis biométrique : 38000 MGA|320 MGA/Catgorie|Chemise dossier verte,45 jours,"Validité: Catégorie A-B: dépend de la date de naissance de la personne titulaire du PC,
 Catégorie C-D-E: si 60 ans et plus 1ans/ si 50 à 59 2 ans/ si 40 à 49 ans 3ans/ si moins de 40 ans 5ans","Paiement du cout à l'accuiel|Octroi avis de paiement|Paiement 38 000 Ariary à la Porte 19|Enregistrement informations (non et catégorie de permis)|Prise de photo et d'empreinte et signature électronique et validation avant impression à la Porte 202|Saisie des informations détaillés (identité civil, informations permis)|Controle des informations|Validation des informations|Organisation des planning d'impression des permis|Impression à la Porte 24|Délivrance permis à la Porte 24",offline,active,"citizens,residents","Centres Immatriculateurs des six provinces
Ambohidahy  porte 24",Tout citoyen ou étranger résident ayant 18 ans et plus,Permis biométrique
MID/DACCIM/C/P6,Permis de conduire (Extension),G2C,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Centres immatriculateurs,Permis de conduire (Extension). Tout citoyen ou étranger résident titulaire d'un permis B de 1ans et plus,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar",38000,38000,MGA,"Droit d'enregistrement extention du permis de conduire (permis biométrique) :38000 Ar, 
 320 Ar/Catégorie",Bordereau d'envoi auto-école|Certificat de résidence|Permis de conduire original + photocopie certifiée|Certificat médical|Droit d'enregistrement extention du permis de conduire (permis biométrique): 38000 MGA|320 MGA/Catégorie|Chemise dossier verte,45 jours/ si 60 ans et plus 1 jour,Validité: Permis C-D-E: si 60 ans et plus 1ans/ si 50 à 59 2ans/ si 40 à 49ans 3ans/ si moins de 40 ans 5ans,"Paiement du cout à l'accuiel|Octroi avis de paiement|Paiement 38 000 Ariary à la Porte 19|Enregistrement informations (non et catégorie de permis)|Prise de photo et d'empreinte et signature électronique et validation avant impression à la Porte 202|Saisie des informations détaillés (identité civil, informations permis)|Controle des informations|Validation des informations|Organisation des planning d'impression des permis|Impression à la Porte 24|Délivrance permis à la Porte 24",offline,active,"citizens,residents","Centres Immatriculateurs des six provinces
Ambohidahy  porte 24",Tout citoyen ou étranger résident titulaire d'un permis B de 1ans et plus,Permis biométrique
MID/DACCIM/C/P7,Permis de conduire (Médical),G2C,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Centres immatriculateurs,Permis de conduire (Médical). Toute personne titulaire d'un permis de conduire médical dont la date de validité du permis est expirée,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar",38000,38000,MGA,Droit d'enregistrement extention du permis de conduire (permis biométrique) : 38000 MGA,Photocopie CNI certifiée|Certificat médical par le BMH ou la HJRA|Certificat de résidence,45 jours/ si 60 ans et plus 1 jour,Validité: Permis C-D-E: si 60 ans et plus 1ans/ si 50 à 59 2ans/ si 40 à 49ans 3ans/ si moins de 40 ans 5ans,"Paiement du cout à l'accuiel|Octroi avis de paiement|Paiement 38 000 Ariary à la Porte 19|Enregistrement informations (non et catégorie de permis)|Prise de photo et d'empreinte et signature électronique et validation avant impression à la Porte 202|Saisie des informations détaillés (identité civil, informations permis)|Controle des informations|Validation des informations|Organisation des planning d'impression des permis|Impression à la Porte 24|Délivrance permis à la Porte 24",offline,active,citizens,"Centres Immatriculateurs des six provinces
Ambohidahy  porte 24",Toute personne titulaire d'un permis de conduire médical dont la date de validité du permis est expirée,Permis biométrique
MID/DACCIM/C/P8,Permis de conduire (duplicata),G2C,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Centres immatriculateurs,Permis de conduire (duplicata). Toute personne ayant perdu son permis,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar",320,320,MGA,320 Ar/ Catégorie,Attestation déclaration de perte|Protocopie CNI certifiée|Certificat de résidence,45 jours/ si 60 ans et plus 1 jour,"Validité: Catégorie A-B: dépend de la date de naissance de la personne titulaire du PC,
 Catégorie C-D-E: si 60 ans et plus 1ans/ si 50 à 59 2ans/ si 40 à 49ans 3ans/ si moins de 40 ans 5ans","Paiement du cout à l'accuiel|Octroi avis de paiement|Paiement 38 000 Ariary à la Porte 19|Enregistrement informations (non et catégorie de permis)|Prise de photo et d'empreinte et signature électronique et validation avant impression à la Porte 202|Saisie des informations détaillés (identité civil, informations permis)|Controle des informations|Validation des informations|Organisation des planning d'impression des permis|Impression à la Porte 24|Délivrance permis à la Porte 24",offline,active,citizens,"Centres Immatriculateurs des six provinces
Ambohidahy  porte 24",Toute personne ayant perdu son permis,Permis biométrique
MID/DACCIM/C/P9,Conversion permis de conduire étranger en permis de conduire Malagasy,G2C,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Centres immatriculateurs,Conversion permis de conduire étranger en permis de conduire Malagasy. Tout étranger résident titulaire d'un permis de conduire de son pays d'origine,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar",38000,38000,MGA,"Droit d'enregistrementextention du permis de conduire(permis biométrique) :38000 MGA , 
 320 Ar/ Catégorie",Demande sur papier libre|Photocopie du Permis de conduire étranger|Permis de conduire étranger|Photocopie CIN|Photocopie passeport et carte de résident|Certificat de résidence|Traduction permis de conduire|Attestation d'emploi,45 jours,Validité: Selon catégorie et âge du titulaire du permis,"Paiement du cout à l'accuiel|Octroi avis de paiement|Paiement 38 000 Ariary à la porte 19|Enregistrement informations (non et catégorie de permis)|Prise de photo et d'empreinte et signature électronique et validation avant impression à la porte 202|Saisie des informations détaillés (identité civil, informations permis)|Controle des informations|Validation des informations|Organisation des planning d'impression des permis|Impression à la porte 24|Délivrance permis à la porte 24",offline,active,"citizens,residents",Centres Immatriculateurs Ambohidahy porte 202,Tout étranger résident titulaire d'un permis de conduire de son pays d'origine,Permis biométrique malagasy
MID/DACCIM/C/P10,Demande de carte grise pour véhicule neuf ou d'occasion importés par les  particuliers,G2C,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Centres immatriculateurs,Demande de carte grise pour véhicule neuf ou d'occasion importés par les  particuliers. Tout citoyen ou étranger résident ayant importé un véhicule neuf ou d'occasion,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar",75300,75300,MGA,Droit carte grise 75 300 Ar,Procès verbal de réception technique délivré par la DGRS (Direction Générale de la Sécurité Routière)|Carte grise originale étrangère|Modèle|Quittance de paiement|DAU|Connaissement|SGS|Déclaration sur l'honneur signature à légaliser|Photocopie certifiée conforme à l'original d'une pièce d'identité|Certificat de résidence propriétaire|Droit :|200 MGA/cheval droit d'immatriculation|750300 MGA carte grise|Chemise dossier: rose si immatriculation/bleu si mutation,30 jours ouvrable,Validité: A vie,"Dépot des dossers au guichet unique rez de chaussée et remplissage des formulaires ( acte de ventes véhicules, déclaration de responsabilité et fiche de suivi)|Enregistrement dossier à la Porte 201 après paiement des droits et taxes|Organisation des planning d'impression de carte grise|Impression à la Porte 24|Scanner le plan d'archive électronique|Délivrance carte griseà la  Porte 201",offline,active,"citizens,residents",Centres Immatriculateurs Ambohidahy guichet unique rez de chaussé,Tout citoyen ou étranger résident ayant importé un véhicule neuf ou d'occasion,Carte grise biométrique
